[rosmaster.main][INFO] 2019-09-27 21:33:15,485: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-09-27 21:33:15,485: Starting ROS Master Node
[xmlrpc][INFO] 2019-09-27 21:33:15,490: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-09-27 21:33:15,493: Started XML-RPC server [http://juan:11311/]
[rosmaster.master][INFO] 2019-09-27 21:33:15,494: Master initialized: port[11311], uri[http://juan:11311/]
[xmlrpc][INFO] 2019-09-27 21:33:15,494: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-09-27 21:33:15,588: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:15,607: +PARAM [/roslaunch/uris/host_juan__46305] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,131: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,131: +PARAM [/move_base/TebLocalPlannerROS/feasibility_check_no_poses] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,132: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,132: +PARAM [/move_base/global_costmap/obstacle_layer/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,132: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/line_start] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,133: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,133: +PARAM [/move_base/no_outer_iterations] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,133: +PARAM [/move_base/TebLocalPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,133: +PARAM [/move_base/global_costmap/inflation_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,133: +PARAM [/move_base/TebLocalPlannerROS/max_global_plan_lookahead_dist] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,134: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,134: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,134: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,134: +PARAM [/move_base/TebLocalPlannerROS/global_plan_overwrite_orientation] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,135: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,135: +PARAM [/move_base/TebLocalPlannerROS/dt_ref] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,135: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,135: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,136: +PARAM [/move_base/global_costmap/plugins] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,136: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,136: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,137: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,137: +PARAM [/move_base/TebLocalPlannerROS/dt_hysteresis] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,137: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,137: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/line_end] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,138: +PARAM [/move_base/global_costmap/obstacle_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,138: +PARAM [/move_base/TebLocalPlannerROS/teb_autosize] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,138: +PARAM [/move_base/TebLocalPlannerROS/min_turning_radius] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,138: +PARAM [/vehicle_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,139: +PARAM [/move_base/optimization_activate] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,139: +PARAM [/move_base/TebLocalPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,139: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,139: +PARAM [/move_base/global_costmap/inflation_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,140: +PARAM [/move_base/TebLocalPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,140: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,140: +PARAM [/move_base/TebLocalPlannerROS/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,140: +PARAM [/move_base/local_costmap/obstacle_layer/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,141: +PARAM [/move_base/optimization_verbose] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,142: +PARAM [/map_server/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,142: +PARAM [/move_base/TebLocalPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,142: +PARAM [/move_base/local_costmap/obstacle_layer/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,142: +PARAM [/move_base/local_costmap/obstacle_layer/track_unknown_space] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,143: +PARAM [/move_base/local_costmap/obstacle_layer/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,143: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,143: +PARAM [/move_base/local_costmap/obstacle_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,143: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,144: +PARAM [/move_base/local_costmap/obstacle_layer/combination_method] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,144: +PARAM [/move_base/TebLocalPlannerROS/costmap_obstacles_behind_robot_dist] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,144: +PARAM [/move_base/TebLocalPlannerROS/weight_kinematics_turning_radius] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,144: +PARAM [/move_base/TebLocalPlannerROS/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,145: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,145: +PARAM [/move_base/local_costmap/obstacle_layer/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,145: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,146: +PARAM [/move_base/no_inner_iterations] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,146: +PARAM [/move_base/TebLocalPlannerROS/max_vel_x_backwards] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,146: +PARAM [/move_base/global_costmap/obstacle_layer/track_unknown_space] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,146: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,147: +PARAM [/move_base/local_costmap/plugins] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,147: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,147: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/type] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,147: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,148: +PARAM [/move_base/local_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,148: +PARAM [/move_base/TebLocalPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,148: +PARAM [/move_base/TebLocalPlannerROS/cmd_angle_instead_rotvel] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,148: +PARAM [/move_base/TebLocalPlannerROS/obstacle_poses_affected] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,149: +PARAM [/move_base/local_costmap/inflation_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,149: +PARAM [/move_base/global_costmap/static_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,149: +PARAM [/move_base/local_costmap/inflation_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,149: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,150: +PARAM [/move_base/local_costmap/obstacle_layer/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,150: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,150: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,150: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,151: +PARAM [/move_base/global_costmap/obstacle_layer/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,151: +PARAM [/move_base/TebLocalPlannerROS/wheelbase] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,152: +PARAM [/move_base/local_costmap/static_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,152: +PARAM [/move_base/local_costmap/obstacle_layer/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,152: +PARAM [/move_base/global_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,153: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,153: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,153: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,153: +PARAM [/move_base/TebLocalPlannerROS/allow_init_with_backwards_motion] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:33:18,154: +PARAM [/move_base/TebLocalPlannerROS/min_obstacle_dist] by /roslaunch
