[rosmaster.main][INFO] 2019-09-27 21:04:54,541: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-09-27 21:04:54,541: Starting ROS Master Node
[xmlrpc][INFO] 2019-09-27 21:04:54,546: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-09-27 21:04:54,548: Master initialized: port[11311], uri[http://juan:11311/]
[xmlrpc][INFO] 2019-09-27 21:04:54,548: Started XML-RPC server [http://juan:11311/]
[xmlrpc][INFO] 2019-09-27 21:04:54,548: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-09-27 21:04:54,909: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:54,918: +PARAM [/roslaunch/uris/host_juan__39421] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,454: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,455: +PARAM [/move_base/TebLocalPlannerROS/feasibility_check_no_poses] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,455: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,456: +PARAM [/move_base/global_costmap/obstacle_layer/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,456: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/line_start] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,456: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,457: +PARAM [/move_base/no_outer_iterations] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,457: +PARAM [/move_base/TebLocalPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,457: +PARAM [/move_base/global_costmap/inflation_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,457: +PARAM [/move_base/TebLocalPlannerROS/max_global_plan_lookahead_dist] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,458: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,458: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,458: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,459: +PARAM [/move_base/TebLocalPlannerROS/global_plan_overwrite_orientation] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,459: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,459: +PARAM [/move_base/TebLocalPlannerROS/dt_ref] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,459: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,460: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,460: +PARAM [/move_base/global_costmap/plugins] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,460: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,460: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,461: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,461: +PARAM [/move_base/TebLocalPlannerROS/dt_hysteresis] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,461: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,461: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/line_end] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,462: +PARAM [/move_base/global_costmap/obstacle_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,462: +PARAM [/move_base/TebLocalPlannerROS/teb_autosize] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,462: +PARAM [/move_base/TebLocalPlannerROS/min_turning_radius] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,462: +PARAM [/vehicle_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,463: +PARAM [/move_base/optimization_activate] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,463: +PARAM [/move_base/TebLocalPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,463: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,463: +PARAM [/move_base/global_costmap/inflation_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,464: +PARAM [/move_base/TebLocalPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,464: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,464: +PARAM [/move_base/TebLocalPlannerROS/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,464: +PARAM [/move_base/local_costmap/obstacle_layer/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,465: +PARAM [/move_base/optimization_verbose] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,465: +PARAM [/map_server/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,465: +PARAM [/move_base/TebLocalPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,465: +PARAM [/move_base/local_costmap/obstacle_layer/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,466: +PARAM [/move_base/local_costmap/obstacle_layer/track_unknown_space] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,466: +PARAM [/move_base/local_costmap/obstacle_layer/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,466: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,466: +PARAM [/move_base/local_costmap/obstacle_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,467: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,467: +PARAM [/move_base/local_costmap/obstacle_layer/combination_method] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,467: +PARAM [/move_base/TebLocalPlannerROS/costmap_obstacles_behind_robot_dist] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,467: +PARAM [/move_base/TebLocalPlannerROS/weight_kinematics_turning_radius] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,468: +PARAM [/move_base/TebLocalPlannerROS/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,468: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,468: +PARAM [/move_base/local_costmap/obstacle_layer/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,468: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,469: +PARAM [/move_base/no_inner_iterations] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,469: +PARAM [/move_base/TebLocalPlannerROS/max_vel_x_backwards] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,469: +PARAM [/move_base/global_costmap/obstacle_layer/track_unknown_space] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,469: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,470: +PARAM [/move_base/local_costmap/plugins] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,470: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,470: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/type] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,470: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,471: +PARAM [/move_base/local_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,471: +PARAM [/move_base/TebLocalPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,471: +PARAM [/move_base/TebLocalPlannerROS/cmd_angle_instead_rotvel] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,471: +PARAM [/move_base/TebLocalPlannerROS/obstacle_poses_affected] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,472: +PARAM [/move_base/local_costmap/inflation_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,472: +PARAM [/move_base/global_costmap/static_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,472: +PARAM [/move_base/local_costmap/inflation_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,472: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,473: +PARAM [/move_base/local_costmap/obstacle_layer/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,473: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,473: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,473: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,474: +PARAM [/move_base/global_costmap/obstacle_layer/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,474: +PARAM [/move_base/TebLocalPlannerROS/wheelbase] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,474: +PARAM [/move_base/local_costmap/static_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,475: +PARAM [/move_base/local_costmap/obstacle_layer/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,475: +PARAM [/move_base/global_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,475: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,475: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,476: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,476: +PARAM [/move_base/TebLocalPlannerROS/allow_init_with_backwards_motion] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,476: +PARAM [/move_base/TebLocalPlannerROS/min_obstacle_dist] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,476: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,477: +PARAM [/move_base/planner_patience] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,477: +PARAM [/move_base/global_costmap/obstacle_layer/combination_method] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,477: +PARAM [/move_base/local_costmap/obstacle_layer/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,477: +PARAM [/move_base/global_costmap/obstacle_layer/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,478: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 21:04:57,922: +SERVICE [/rosout/get_loggers] /rosout http://juan:45041/
[rosmaster.master][INFO] 2019-09-27 21:04:57,925: +SERVICE [/rosout/set_logger_level] /rosout http://juan:45041/
[rosmaster.master][INFO] 2019-09-27 21:04:57,945: +SUB [/clock] /rosout http://juan:45041/
[rosmaster.master][INFO] 2019-09-27 21:04:57,949: +PUB [/rosout_agg] /rosout http://juan:45041/
[rosmaster.master][INFO] 2019-09-27 21:04:57,964: +SUB [/rosout] /rosout http://juan:45041/
[rosmaster.master][INFO] 2019-09-27 21:05:00,797: +PUB [/rosout] /stageros http://juan:41331/
[rosmaster.master][INFO] 2019-09-27 21:05:00,834: +SERVICE [/stageros/get_loggers] /stageros http://juan:41331/
[rosmaster.master][INFO] 2019-09-27 21:05:00,843: +SERVICE [/stageros/set_logger_level] /stageros http://juan:41331/
[rosmaster.master][INFO] 2019-09-27 21:05:00,866: publisherUpdate[/rosout] -> http://juan:45041/ ['http://juan:41331/']
[rosmaster.master][INFO] 2019-09-27 21:05:00,873: publisherUpdate[/rosout] -> http://juan:45041/ ['http://juan:41331/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2019-09-27 21:05:00,925: +SUB [/clock] /stageros http://juan:41331/
[rosmaster.master][INFO] 2019-09-27 21:05:00,939: +PUB [/tf] /stageros http://juan:41331/
[rosmaster.master][INFO] 2019-09-27 21:06:54,710: +PUB [/rosout] /path_publisher http://juan:33809/
[rosmaster.master][INFO] 2019-09-27 21:06:58,322: publisherUpdate[/rosout] -> http://juan:45041/ ['http://juan:41331/', 'http://juan:33809/']
[rosmaster.master][INFO] 2019-09-27 21:07:06,454: publisherUpdate[/rosout] -> http://juan:45041/ ['http://juan:41331/', 'http://juan:33809/']: sec=5.07, result=[1, '', 0]
[rosmaster.master][INFO] 2019-09-27 21:07:07,912: +PUB [/rosout] /vehicle_state_publisher http://juan:44719/
