[rosmaster.main][INFO] 2019-09-27 19:34:39,998: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-09-27 19:34:39,998: Starting ROS Master Node
[xmlrpc][INFO] 2019-09-27 19:34:40,004: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-09-27 19:34:40,005: Master initialized: port[11311], uri[http://juan:11311/]
[xmlrpc][INFO] 2019-09-27 19:34:40,005: Started XML-RPC server [http://juan:11311/]
[xmlrpc][INFO] 2019-09-27 19:34:40,006: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-09-27 19:34:44,575: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:44,584: +PARAM [/roslaunch/uris/host_juan__44515] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,093: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,093: +PARAM [/move_base/TebLocalPlannerROS/feasibility_check_no_poses] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,094: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,095: +PARAM [/move_base/global_costmap/obstacle_layer/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,095: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/line_start] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,096: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,096: +PARAM [/move_base/no_outer_iterations] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,096: +PARAM [/move_base/TebLocalPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,096: +PARAM [/move_base/global_costmap/inflation_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,097: +PARAM [/move_base/TebLocalPlannerROS/max_global_plan_lookahead_dist] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,097: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,097: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,097: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,098: +PARAM [/move_base/TebLocalPlannerROS/global_plan_overwrite_orientation] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,098: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,098: +PARAM [/move_base/TebLocalPlannerROS/dt_ref] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,098: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,099: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,099: +PARAM [/move_base/global_costmap/plugins] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,099: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,099: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,100: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,100: +PARAM [/move_base/TebLocalPlannerROS/dt_hysteresis] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,100: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,101: +PARAM [/move_base/TebLocalPlannerROS/footprint_model/line_end] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,101: +PARAM [/move_base/global_costmap/obstacle_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,102: +PARAM [/move_base/TebLocalPlannerROS/teb_autosize] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,102: +PARAM [/move_base/TebLocalPlannerROS/min_turning_radius] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,102: +PARAM [/vehicle_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,102: +PARAM [/move_base/optimization_activate] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,103: +PARAM [/move_base/TebLocalPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,103: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2019-09-27 19:34:47,103: +PARAM [/move_base/global_costmap/inflation_layer/enabled] by /roslaunch
